Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,Forecast Price,Error,,,,w=,0.985363316,Optimum,0.985
EICHERMOT,EQ,02-May-18,31188.6,31349,31453.8,30290,30501,30522.25,30796.09,59292,1825961967,19463,35605,60.05,,30522.25,,,,,SSE,40896987.44,,
EICHERMOT,EQ,03-May-18,30522.25,30725,30725,29602,29800.55,29878.4,29966.19,31793,952715104.2,12009,14752,46.4,,29887.82383,-643.85,,,,,,,
EICHERMOT,EQ,04-May-18,29878.4,29800,30100,29150,29230.1,29208.4,29423.8,24758,728474526.7,10194,11528,46.56,,29218.34451,-679.4238293,,,,Forecast Value for 12.11.2018,,,22497.55583
EICHERMOT,EQ,07-May-18,29208.4,29449.95,29850,29100.05,29785,29766.85,29563.43,29255,864878202.2,10596,15777,53.93,,29758.8217,548.5054878,,,,,,,
EICHERMOT,EQ,08-May-18,29766.85,29800,30500,29800,30400,30427.05,30289.64,38560,1167968672,14250,18011,46.71,,30417.26935,668.2283017,,,,,,,
EICHERMOT,EQ,09-May-18,30427.05,30499,30740.15,30150,30312.5,30315.65,30533.98,38251,1167955376,13929,10093,26.39,,30317.13737,-101.6193532,,,,,,,
EICHERMOT,EQ,10-May-18,30315.65,30800,31207.45,30075.1,30750,30647.5,30556.13,70112,2142351622,23883,26221,37.4,,30642.66459,330.3626296,,,,,,,
EICHERMOT,EQ,11-May-18,30647.5,30750,31150,30625,30890.65,30873,30892.17,33957,1049005550,11590,13630,40.14,,30869.62865,230.3354136,,,,,,,
EICHERMOT,EQ,14-May-18,30873,30890.65,30950,30376.6,30495.3,30495.25,30626.76,22972,703558045.4,7502,10345,45.03,,30500.72966,-374.3786532,,,,,,,
EICHERMOT,EQ,15-May-18,30495.25,30495.25,31000,30190.15,30864,30772.85,30734.45,44629,1371647643,15003,24838,55.65,,30768.86706,272.1203378,,,,,,,
EICHERMOT,EQ,16-May-18,30772.85,30500.05,30970.4,30335,30555.1,30565.7,30666.2,30974,949854884.5,13460,15004,48.44,,30568.67369,-203.1670605,,,,,,,
EICHERMOT,EQ,17-May-18,30565.7,30566.8,30925,30377.9,30470,30495.95,30701.47,26798,822738036.7,11028,14336,53.5,,30497.01443,-72.72369215,,,,,,,
